순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,139.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.45,0.75,0.71,116.9,60
2,KRW-UNI,유니스왑,5715.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),1,0.31,0.83,0.9,114.8,50
3,KRW-JTO,지토,755.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),3,0.49,0.31,0.33,106.9,50
4,KRW-MMT,모멘텀,277.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.41,0.3,0.72,135.2,40
5,KRW-INJ,인젝티브,6630.0,약한매수,1차 진입 (돌파 초입),대기 및 추세 관망,1,1.47,0.9,0.67,104.9,10
6,KRW-HOLO,홀로월드에이아이,113.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,1.23,1.69,1.48,116.3,0
7,KRW-ONDO,온도파이낸스,578.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.62,1.25,0.8,121.2,0
